47 3 1065.49 1053.76 67.636 1 46
48 3 1070.85 1057.93 66.902 1 47
49 3 1077.8 1060.61 67.083 1 48
50 3 1083.38 1062.99 66.345 1 49
51 3 1088.71 1064.36 65.355 1 50
52 3 1094.01 1067.3 64.769 1 51
53 3 1099.07 1071.21 64.793 1 52
54 3 1104.54 1073.35 64.774 1 53
55 3 1110.45 1074.65 63.986 1 54
56 3 1117.17 1076.96 63.877 1 55
57 3 1122.63 1080.02 63.195 1 56
58 3 1128.39 1084.08 63.112 1 57
59 3 1133.66 1086.71 62.114 1 58
60 3 1139.23 1088.75 61.26 1 59
61 3 1144.46 1090.98 62.364 1 60
62 3 1150.01 1095.1 62.109 1 61
63 3 1153.36 1099.06 62.963 1 62
64 3 1159.37 1101.52 62.996 1 63
65 3 1164.3 1103.74 61.003 1 64
66 3 1169.58 1105.44 61.083 1 65
67 3 1174.26 1108.75 60.931 1 66
68 3 1180.26 1111.81 60.584 1 67
69 3 1186.56 1113.9 60.066 1 68
70 3 1192.35 1115.95 61.001 1 69
71 3 1198.54 1117.18 61.155 1 70
72 3 1200.69 1117.78 60.518 1 71
73 3 1203.09 1118.66 60.309 1 72
74 3 1204.05 1119.91 60.965 1 73
75 3 1205.58 1121.6 60.931 1 74
76 3 1208.76 1123.44 60.858 1 75
77 3 1211.13 1124.46 60.881 1 76
78 3 1211.96 1124.96 60.845 1 77
79 3 1217.99 1128.62 60.689 1 78
80 3 1223.87 1131.58 61.009 1 79
81 3 1230.04 1134.33 61.285 1 80
82 3 1233.64 1137.06 60.149 1 81
83 3 1239.32 1141.01 59.88 1 82
84 3 1244.7 1143.6 59.697 1 83
85 3 1248.48 1147.61 60.306 1 84
86 3 1253.83 1151.44 59.972 1 85
87 3 1259.37 1155.89 59.542 1 86
88 3 1264.73 1158.88 58.965 1 87
89 3 1266.66 1160.12 58.166 1 88
90 3 1268.18 1162 57.944 1 89
91 3 1269.89 1163.59 57.99 1 90
92 3 1271.38 1164.64 58.931 1 91
93 3 1272.53 1165.39 59.523 1 92
94 3 1278.55 1168.88 59.209 1 93
95 3 1283.6 1171.9 58.123 1 94
96 3 1288.11 1176.14 58.484 1 95
97 3 1292.59 1179.99 59.101 1 96
98 3 1298.15 1183.78 58.332 1 97
99 3 1302.93 1186.33 56.744 1 98
100 3 1308.69 1188.42 56.223 1 99
101 3 1313.5 1191.36 55.473 1 100
102 3 1318.32 1194.03 54.614 1 101
103 3 1323.17 1196.45 55.234 1 102
104 3 1327.47 1200.43 54.818 1 103
105 3 1331.65 1205.36 54.097 1 104
106 3 1336.46 1208.6 53.756 1 105
107 3 1341.34 1212.89 53.705 1 106
108 3 1346.65 1217.67 53.389 1 107
109 3 1351.75 1222.13 52.782 1 108
110 3 1357.45 1226.32 52.152 1 109
111 3 1363.41 1230.59 51.521 1 110
112 3 1369.34 1234.94 50.95 1 111
113 3 1374.14 1239.11 51.08 1 112
114 3 1378.76 1243.24 51.313 1 113
115 3 1383 1246.84 52.146 1 114
116 3 1387.77 1250.55 52.437 1 115
117 3 1391.7 1253.58 54.659 1 116
118 3 1397.07 1257.05 54.513 1 117
119 3 1402.2 1259.24 55.019 1 118
120 3 1408.49 1260.87 54.948 1 119
121 3 1414.6 1261.44 55.726 1 120
122 3 1420.06 1262.05 55.63 1 121
123 3 1426.22 1262.74 55.191 1 122
124 3 1432.01 1261.95 55.347 1 123
125 3 1438.2 1262.17 55.184 1 124
126 3 1445.54 1262.59 55.163 1 125
127 3 1452.55 1262.97 54.958 1 126
128 3 1459.44 1264.37 54.66 1 127
129 3 1464.73 1266.04 54.95 1 128
130 3 1470.86 1268.71 55.163 1 129
131 3 1476.02 1271.59 56.121 1 130
132 3 1482.01 1273.97 55.526 1 131
133 3 1487.49 1276.16 53.01 1 132
134 3 1493.04 1279.33 52.444 1 133
135 3 1497.47 1282.29 53.015 1 134
136 3 1499.92 1285.63 53.157 1 135
137 3 1505.44 1289.57 52.196 1 136
138 3 1510.77 1293.12 51.398 1 137
139 3 1515.81 1296.29 49.793 1 138
140 3 1520.62 1299.75 49.063 1 139
141 3 1525.77 1304.33 48.921 1 140
142 3 1530.57 1308.83 48.067 1 141
143 3 1532.51 1310.38 48.496 1 142
144 3 1534.66 1311.62 48.066 1 143
145 3 1536.24 1311.87 47.012 1 144
